Dimensions,Baseline(sec),-O2(sec),-O3(sec),-O2Speedup,-O3Speedup,-O2to-O3Speedup
1 * 1 matrix,1.91e-07,1.27e-07,9.3e-08,
1 * 8 matrix,2.44e-07,1.51e-07,1.47e-07,
1 * 64 matrix,4.02e-07,2.02e-07,2e-07,
1 * 512 matrix,1.583e-06,5.04e-07,4.62e-07,
1 * 4096 matrix,1.4897e-05,6.164e-06,6.328e-06,
8 * 1 matrix,2.36e-07,1.78e-07,1.65e-07,
8 * 8 matrix,4.42e-07,2.02e-07,1.8e-07,
8 * 64 matrix,1.727e-06,5.81e-07,5.45e-07,
8 * 512 matrix,1.5141e-05,7.27e-06,6.675e-06,
8 * 4096 matrix,0.000130572,6.9653e-05,6.3066e-05,
64 * 1 matrix,3.9e-07,2.73e-07,2.55e-07,
64 * 8 matrix,1.864e-06,5.77e-07,5.84e-07,
64 * 64 matrix,1.5688e-05,7.076e-06,6.728e-06,
64 * 512 matrix,0.000203012,0.000102343,0.000102238,
64 * 4096 matrix,0.0102082,0.00844887,0.00120847,
512 * 1 matrix,2.063e-06,9.56e-07,1.003e-06,
512 * 8 matrix,1.5628e-05,6.613e-06,6.877e-06,
512 * 64 matrix,0.000283895,0.000134485,0.000132325,
512 * 512 matrix,0.0126131,0.00630137,0.00206934,
512 * 4096 matrix,0.0829784,0.0535304,0.0530735,
4096 * 1 matrix,1.8354e-05,9.8e-06,9.429e-06,
4096 * 8 matrix,0.000128851,6.9019e-05,6.8816e-05,
4096 * 64 matrix,0.00734647,0.00131992,0.00133604,
4096 * 512 matrix,0.0778001,0.0848965,0.0701794,
4096 * 4096 matrix,0.38869,0.385565,0.34848,
1 * 1 matrix,1.78e-07,1.22e-07,1.48e-07,
1 * 7 matrix,2.3e-07,2.21e-07,1.53e-07,
1 * 49 matrix,3.46e-07,5.69e-07,2.17e-07,
1 * 343 matrix,1.078e-06,3.76e-07,3.92e-07,
1 * 2401 matrix,7.555e-06,2.535e-06,2.51e-06,
7 * 1 matrix,2.55e-07,1.81e-07,1.38e-07,
7 * 7 matrix,3.22e-07,1.88e-07,1.84e-07,
7 * 49 matrix,1.208e-06,4.23e-07,4.61e-07,
7 * 343 matrix,7.85e-06,3.5124e-05,2.649e-06,
7 * 2401 matrix,6.31e-05,3.0296e-05,3.0178e-05,
49 * 1 matrix,3.5e-07,2.16e-07,2.13e-07,
49 * 7 matrix,1.33e-06,4.44e-07,7.38e-07,
49 * 49 matrix,8.162e-06,2.969e-06,2.987e-06,
49 * 343 matrix,7.3563e-05,5.2336e-05,9.2179e-05,
49 * 2401 matrix,0.00801238,0.000441864,0.000446272,
343 * 1 matrix,1.483e-06,6.91e-07,6.3e-07,
343 * 7 matrix,8.122e-06,3.622e-06,2.967e-06,
343 * 49 matrix,6.3357e-05,3.5011e-05,2.9169e-05,
343 * 343 matrix,0.00453218,0.000285423,0.00028708,
343 * 2401 matrix,0.0128708,0.00804661,0.0123697,
2401 * 1 matrix,1.1315e-05,4.579e-06,4.579e-06,
2401 * 7 matrix,6.2695e-05,2.5484e-05,2.6651e-05,
2401 * 49 matrix,0.000530682,0.000274962,0.000221895,
2401 * 343 matrix,0.0118983,0.00622873,0.00624408,
2401 * 2401 matrix,0.14556,0.141745,0.183382,
